"","lon","lat"
"433",-84.97,41.63
"434",-86.61,38.43
"435",-85.28,41.64
"436",-86.36,41.28
"437",-84.96,39.83
"438",-86.25,41.68
"439",-87.31,41.32
"440",-86.63,41.47
"441",-86.42,38.72
"442",-87.43,39.1
"443",-87.41,39.42
"444",-85.79,41.32
"445",-87.21,39.88
"446",-87.78,38.34
"447",-84.99,39.59
"448",-87.49,40.98
"449",-97.04,37.04
"450",-95.27,38.78
"451",-101.85,37.11
"452",-100.01,37.78
"453",-96.08,38.45
"454",-99.4,38.83
"455",-97.43,38.06
"456",-95.31,38.99
"457",-94.75,38.28
"458",-94.85,38.91
"459",-95.4,39.2
"460",-95.25,37.46
"461",-98.48,38.15
"462",-97.63,38.84
"463",-94.97,37.23
"464",-95.68,39.05
"465",-96.98,37.26
"466",-97.35,37.69
"467",-86.43,36.92
"468",-88.2,36.6
"469",-84.77,37.65
"470",-84.85,38.23
"471",-84.78,38.46
"472",-88.17,36.94
"473",-84.47,37.92
"474",-85.63,38.29
"475",-93.5,32.29
"476",-91.12,30.37
"477",-92.06,31.51
"478",-93.11,29.82
"479",-92.24,32.66
"480",-90.05,29.2
"481",-93.71,29.8
"482",-92.1,30.19
"483",-93.06,31.82
"484",-89.92,30.02
"485",-92.38,30.76
"486",-90.47,30.09
"487",-93.39,29.85
"488",-93.89,32.54
"489",-90.09,30.42
"490",-91.37,32.28
"491",-90.75,29.82
"492",-89.48,29.34
"494",-72.22,42.59
"495",-70.62,41.65
"496",-70.73,42.61
"497",-73.25,42.41
"499",-71.43,42.43
"500",-71.1,42.4
"501",-72.6,42.59
"502",-70.65,42.1
"503",-70.3,41.7
"504",-71.36,42.17
"507",-73.19,42.64
"508",-70.9,42.74
"509",-70.87,41.6
"510",-72.6,42.34
"511",-70.6,41.87
"512",-72.28,42.37
"513",-70.93,42.22
"514",-72.51,42.13
"516",-71.03,41.87
"517",-71.67,42.07
"518",-71.93,42.52
"519",-71.79,42.32
"520",-97.55,49.1
"521",-97.32,50.26
"522",-99.96,49.84
"524",-99.04,49.56
"525",-100.05,51.15
"526",-98.24,50.11
"527",-99.37,49.58
"528",-101.19,49.11
"529",-99.84,50.25
"530",-95.97,50.18
"531",-99.94,50.72
"533",-97.2,49.88
"534",-78.69,39.59
"535",-76.51,39
"536",-76.49,39.27
"537",-76.79,38.99
"538",-77.41,39.62
"539",-75.76,38.03
"540",-75.84,38.91
"541",-75.94,39.53
"542",-76.64,38.75
"543",-76.19,39.14
"544",-79.37,39.49
"545",-75.21,38.31
"546",-76.42,38.11
"547",-77.03,38.48
"548",-75.73,38.33
"549",-76.04,38.36
"550",-77.33,39.07
"551",-77.39,39.28
"552",-76.25,38.75
"553",-76.99,39.16
"554",-77.73,39.57
"555",-69.78,44.31
"556",-68.79,44.7
"558",-67.18,44.95
"559",-69.23,45.16
"561",-70.16,44.7
"562",-70.2,44.11
"563",-67.33,44.67
"564",-68.31,44.34
"565",-69.93,45.44
"566",-68.68,44.91
"567",-70.22,43.59
"568",-68.11,44.43
"569",-70.82,44.07
"570",-69.17,44.08
"571",-69.66,44.56
"572",-70.63,43.18
"573",-83.78,42.32
"574",-82.66,42.63
"575",-86.01,42.55
"576",-84.68,42.3
"577",-83.46,45.07
"578",-86.13,44.63
"579",-86.42,42.02
"580",-85.28,42.38
"581",-86.3,42.21
"582",-83.55,42.72
"583",-86.08,41.97
"584",-83.11,42.34
"585",-84.49,42.77
"586",-83.62,43.11
"587",-85.47,43
"588",-83.84,42.63
"589",-88.5,47.07
"590",-84.68,44.42
"591",-87.5,45.38
"592",-86.06,42.89
"593",-88.64,46.09
"594",-85.65,42.3
"595",-83.24,43
"596",-84.25,43.57
"597",-83.44,41.87
"598",-84.85,43.63
"599",-87.4,46.54
"600",-86.25,43.22
"601",-86.62,41.81
"602",-86.28,41.83
"603",-84.97,45.37
"604",-82.52,42.93
"605",-83.25,42.79
"606",-83.9,45.4
"607",-83.25,42.07
"608",-85.97,46.25
"609",-85.54,44.72
"610",-84.21,42.32
"611",-82.95,42.7
"612",-85.03,46.68
"613",-92.77,44.9
"614",-93.39,43.65
"615",-92.21,47.49
"616",-92.97,43.66
"617",-94.68,48.63
"618",-94.97,48.5
"619",-93.22,44.82
"620",-96.5,47.7
"621",-92.44,46.65
"622",-95.67,44.61
"623",-93.96,46.48
"624",-92.03,46.85
"625",-93.52,44.86
"626",-93.19,44.36
"627",-93.65,47.26
"628",-92.9,44.67
"629",-92.93,47.43
"630",-91.48,47.63
"631",-95.19,47.23
"632",-95.96,45.01
"633",-95.82,44.36
"634",-93.31,45.14
"635",-95.05,43.94
"636",-93.15,44.07
"637",-92.5,44.06
"638",-95.77,48.87
"639",-94.26,45.56
"640",-92.9,45.12
"641",-93.13,45.01
"642",-92.6,47.17
"643",-92.04,44.27
"644",-91.65,44.04
"645",-96.77,48.2
"646",-92.82,45.39
"647",-89.27,36.67
"648",-92.33,38.89
"649",-92.98,37.72
"650",-93.97,40.03
"651",-92.18,38.58
"652",-94.46,37.05
"653",-94.4,38.95
"654",-93.63,38.74
"655",-94.92,40.35
"656",-90.2,36.98
"657",-93.82,38.25
"658",-91.57,37.96
"659",-90.45,38.88
"660",-95.27,40.08
"661",-94.84,39.8
"662",-93.22,39.67
"663",-93.24,37.22
"664",-91.1,38.17
"665",-93.18,36.61
"666",-90.69,38.71
"667",-90.13,34.76
"668",-91.18,31.75
"669",-89.7,33.81
"670",-89.32,31.31
"671",-90,32.45
"672",-88.74,30.43
"673",-90.49,34.49
"674",-89.5,30.29
"675",-90.29,33.34
"676",-89.72,34.47
"677",-90.37,33.97
"678",-90.91,32.31
"679",-90.99,33.1
"680",-114.09,48.1
"681",-108.43,45.82
"682",-107.73,48.39
"683",-111.07,45.68
"684",-112.86,45
"685",-110.97,48.37
"686",-106.45,48.01
"687",-111.34,47.47
"688",-113.99,48.52
"689",-114.13,46.25
"690",-111.98,46.68
"691",-109.42,47.07
"692",-115.47,48.38
"693",-108.52,47.92
"694",-105.88,46.43
"695",-114.03,46.91
"696",-110.49,45.64
"697",-114.09,46.51
"698",-111.56,45.85
"699",-115.89,48.46
"700",-112.86,46.2
"701",-110.7,45.03
"704",-66.79,45.05
"705",-63.92,46.12
"707",-64.92,46.82
"708",-64.36,45.9
"709",-82.4,35.6
"710",-75.55,35.78
"711",-82.67,35.18
"712",-76.93,35.47
"713",-75.61,35.22
"714",-79.06,35.91
"715",-80.88,35.18
"716",-78.89,36.09
"717",-81.75,36.19
"718",-79.84,36.12
"719",-80.9,35.9
"720",-79.04,35.7
"721",-76.13,35.45
"722",-76.71,34.76
"723",-75.88,35.15
"724",-76.65,35.14
"725",-76.45,35.77
"726",-76.12,35
"727",-78.66,35.76
"728",-77.57,36.4
"729",-78.82,35.41
"731",-79.32,35.22
"732",-82.24,35.21
"733",-77.98,35.32
"734",-77.89,34.14
"735",-80.31,36.08
"736",-100.78,46.82
"737",-102.07,48.67
"738",-96.83,46.93
"739",-101.33,47.51
"740",-97.15,47.93
"741",-101.62,47.29
"742",-98.75,46.9
"743",-100.64,48.6
"744",-100.19,46.69
"745",-103.53,46.92
"746",-101.3,48.24
"747",-97.33,47.5
"748",-97.42,46
"749",-103.36,47.61
"750",-101.57,48.45
"751",-98,46.93
"752",-99.27,41.35
"753",-96.75,40.8
"754",-97.43,42.03
"755",-95.88,41.11
"756",-103.64,41.87
"757",-71.89,43.84
"758",-71.54,43.22
"759",-70.83,42.98
"760",-71.14,44.78
"761",-72.23,43.72
"762",-72.31,42.93
"763",-70.98,43.17
"764",-71.52,43.55
"765",-71.75,44.27
"766",-71.55,42.8
"767",-71.97,42.92
"768",-71.29,45.09
"769",-74.42,40.16
"770",-74.17,39.67
"771",-74.38,40.85
"772",-74.93,39.25
"773",-75.2,39.33
"774",-74.88,39.01
"775",-75.14,39.58
"776",-74.4,40.7
"777",-74.15,40.02
"778",-74.06,40.25
"779",-74,40.78
"780",-74.65,39.26
"781",-75.24,39.77
"782",-74.91,40.64
"784",-74.74,39.77
"785",-74.66,40.34
"786",-74.25,41.09
"787",-74.35,40.52
"788",-75.41,39.61
"790",-74.62,40.58
"791",-74.64,41.12
"792",-74.73,40.19
"793",-75.02,40.98
"801",-106.62,35.18
"802",-106.89,33.81
"803",-108.1,35.26
"804",-107.31,32.95
"805",-104.5,32.18
"806",-103.25,36.52
"807",-106.07,35.99
"808",-108.1,36.78
"809",-108.58,32.92
"810",-104.29,32.57
"811",-106.72,32.3
"812",-105.96,33
"813",-104.07,32.29
"814",-105.22,35.59
"815",-104.4,33.4
"816",-108.26,32.74
"817",-106.95,34.32
"818",-105.93,35.67
"819",-106.35,35.16
"820",-108.82,35.03
"821",-64.25,45.73
"822",-64.45,44.23
"823",-66.49,44.27
"824",-64.95,44.99
"825",-61.12,46.33
"826",-64.39,45.09
"827",-66.09,43.83
"829",-119.73,39.18
"830",-115.31,36.33
"831",-115.7,40.74
"832",-118.77,39.4
"833",-114.95,36.08
"834",-115.5,40.2
"835",-119.82,39.47
"836",-73.9,42.5
"837",-75.96,42.15
"838",-78.37,42.68
"839",-73.94,40.62
"840",-78.97,43
"841",-73.78,40.91
"842",-73.25,40.7
"843",-77.62,42.78
"844",-75.32,43.08
"845",-76.13,42.66
"846",-72.78,40.83
"847",-73.88,42.29
"848",-73.79,41.69
"849",-76.83,42.14
"850",-74.15,41.48
"851",-73.6,44.22
"852",-74.62,42.93
"853",-79.28,42.43
"854",-76.98,42.87
"855",-78.74,42.72
"856",-73.62,43.3
"857",-73.58,41.54
"858",-76.43,42.45
"859",-79.23,42.11
"860",-74.38,43.09
"861",-78.01,42.75
"862",-74.89,44.97
"863",-72,41.05
"864",-74.13,41.85
"865",-74.63,41.57
"866",-76.73,43
"867",-73.59,40.87
"868",-75.65,43.1
"869",-74.95,43.73
"870",-78.39,43.15
"871",-72.33,41.11
"872",-76.47,43.4
"873",-74.95,42.55
"874",-76.35,42.12
"875",-73.8,41.4
"876",-73.85,41.25
"877",-73.47,44.65
"878",-73.74,40.69
"879",-72.45,40.86
"880",-73.97,41.13
"881",-77.64,43.22
"882",-73.41,43.14
"883",-78.48,42.11
"884",-75.5,42.68
"885",-74.15,40.58
"886",-76.41,42.95
"887",-74.07,44.32
"888",-73.14,40.91
"889",-73.59,40.63
"890",-78.07,42.17
"891",-73.64,42.62
"892",-73.7,43.07
"893",-73.93,42.74
"894",-76.08,43.1
"895",-73.66,42.83
"896",-75.98,44.01
"897",-76.87,42.38
"898",-80.66,41.89
"899",-83.55,38.8
"900",-82.3,40.82
"901",-82.15,39.3
"902",-80.67,40.71
"903",-82.48,39.93
"904",-81.2,41.47
"905",-81.08,40.3
"906",-81.48,41.13
"907",-84.3,39.1
"908",-81.5,41.57
"909",-82.93,39.99
"910",-84.18,39.82
"911",-83.05,40.4
"912",-84.03,38.99
"913",-82.19,41.38
"914",-82.56,41.33
"915",-84.5,40.52
"916",-83.81,41.51
"917",-84.61,40.1
"918",-84.54,39.4
"919",-82.94,40.19
"920",-83.92,40.48
"921",-82.87,39.47
"922",-83.36,40.64
"924",-81.86,41.46
"925",-82.6,39.71
"926",-82.55,40.7
"927",-82.82,40.55
"928",-82.3,40.58
"929",-82.28,39.71
"930",-84.38,41.33
"931",-83.22,40.22
"932",-83.2,41.61
"933",-84.72,39.51
"934",-83.45,39.26
"935",-82.67,41
"936",-83.11,38.78
"937",-81.63,40.44
"938",-80.84,40.87
"939",-80.86,41.38
"940",-83.13,41.11
"941",-83.53,41.65
"942",-82.2,41.15
"943",-84.64,39.21
"944",-81.64,40.67
"945",-82.02,40.75
"946",-80.7,41.05
"947",-97.22,35.57
"948",-99.81,36.06
"949",-94.7,34.06
"950",-95.32,35.85
"951",-96.09,36.93
"952",-102.89,36.9
"953",-97.38,35.27
"954",-97.58,35.54
"955",-95.63,36.37
"956",-98.18,36.79
"957",-97.18,36.15
"958",-96.65,34.18
"959",-95.9,36.32
"960",-99.28,35.65
"961",-98.67,34.73
"962",-78.4,45.57
"963",-91.6,48.75
"964",-79.75,44.36
"965",-79.1,44.35
"966",-79.51,45.67
"967",-81.97,42.32
"969",-80.26,43.31
"970",-82.87,42.07
"971",-80,43.86
"972",-76.15,45.14
"973",-76.02,45.42
"974",-77.49,46.1
"975",-92.84,49.78
"977",-79.9,42.88
"978",-79.28,44.95
"979",-79.75,44.89
"980",-80.22,43.52
"981",-79.89,43.27
"982",-81.07,44.2
"983",-91.68,49.48
"984",-80.93,43
"985",-81.62,44.09
"986",-94.45,49.78
"987",-79.73,43.82
"988",-81.88,43.17
"989",-80.49,43.45
"990",-81.31,42.95
"991",-80.39,42.62
"993",-80.57,44.53
"996",-78.72,44.92
"997",-76.91,44.22
"998",-79.38,46.31
"999",-79.07,43.17
"1000",-75.7,45.42
"1001",-79.5,44.58
"1002",-80.94,44.57
"1003",-78.81,43.91
"1004",-76.33,45.33
"1005",-79.25,42.88
"1007",-78.01,44.66
"1008",-79.69,43.49
"1009",-79.1,43.9
"1010",-77.14,45.82
"1012",-82.53,42.02
"1013",-77.7,44.02
"1014",-78.33,44.32
"1015",-76.68,45.47
"1016",-76.14,44.85
"1017",-79.45,43.93
"1018",-79.37,43.12
"1019",-81.05,46.5
"1020",-80.98,43.32
"1021",-82.35,42.37
"1022",-84.36,46.51
"1023",-81.12,42.73
"1024",-79.39,44.23
"1025",-89.28,48.42
"1026",-75.98,44.35
"1028",-79.41,43.71
"1029",-74.65,45.52
"1030",-76.39,44.67
"1031",-81.18,44.73
"1032",-82.38,42.63
"1033",-79.88,44.69
"1034",-80.22,42.86
"1035",-80.71,43.17
"1037",-119.88,42.18
"1038",-117.84,44.86
"1039",-117.87,44.66
"1040",-121.31,44.06
"1041",-124.3,43.38
"1042",-123.95,46.22
"1043",-123.27,44.51
"1044",-123.34,44.9
"1045",-123.18,44.08
"1046",-123.13,45.49
"1048",-123.37,42.42
"1049",-119.77,42.48
"1050",-121.57,45.62
"1051",-118.95,44.42
"1052",-121.74,42.16
"1053",-118.88,42.9
"1054",-122.86,42.4
"1055",-122.7,45.52
"1056",-124.48,42.82
"1057",-123.35,43.32
"1058",-123.04,44.94
"1059",-118.88,43.2
"1060",-122.8,45.76
"1061",-122.71,44.97
"1062",-120.78,42.97
"1063",-123.88,45.52
"1064",-117.88,45.25
"1065",-118.67,45.6
"1066",-121.19,44.48
"1067",-117.2,45.37
"1069",-75.43,40.13
"1070",-79.68,40.73
"1071",-77.66,41.01
"1072",-78.59,40
"1073",-75.32,40.62
"1074",-76.55,41.06
"1075",-76.15,40.41
"1076",-80.04,40.95
"1077",-80.36,40.73
"1078",-75.1,40.31
"1079",-77.58,39.9
"1080",-80.06,39.93
"1081",-79.46,41.18
"1082",-78.26,40.58
"1083",-75.98,41.32
"1084",-78.75,41.13
"1085",-75.77,40.13
"1086",-78.26,41.48
"1087",-80.03,42.08
"1088",-77.32,39.83
"1089",-75.37,39.9
"1090",-75.93,40.6
"1091",-76.93,40.23
"1092",-77.94,40.57
"1093",-79.14,40.61
"1094",-78.97,40.1
"1095",-76.36,39.99
"1096",-74.9,40.18
"1097",-76.53,40.38
"1098",-76.98,40.94
"1099",-77.37,41.13
"1100",-80.43,41.6
"1101",-77.37,40.55
"1102",-75.61,40.55
"1103",-76.3,40.23
"1104",-77.2,41.77
"1105",-77.15,40.4
"1106",-79.97,40.51
"1107",-79.54,41.56
"1108",-75.04,40.07
"1109",-80.42,40.5
"1110",-75.87,40.37
"1111",-79.24,40.16
"1112",-76.27,41.7
"1113",-77.8,40.8
"1114",-76.17,39.82
"1115",-75.66,41.41
"1116",-75.37,40.4
"1117",-75.6,39.97
"1118",-76.94,41.25
"1119",-75.5,40.85
"1120",-75.2,41.53
"1121",-79.15,41.84
"1122",-80.21,40.13
"1123",-75.13,40.12
"1124",-63.04,46.14
"1125",-63.13,46.38
"1126",-73.17,45.82
"1127",-71.17,48.37
"1128",-64.29,48.82
"1129",-72.16,45.1
"1130",-72.71,45.39
"1131",-74.14,45.37
"1132",-71.97,45.32
"1133",-73.64,45.45
"1134",-65.78,48.2
"1135",-73.21,45.55
"1136",-64.33,48.53
"1137",-71.25,46.8
"1138",-73.03,46
"1139",-69.62,48.2
"1140",-71.58,41.23
"1141",-71.16,41.54
"1142",-71.56,41.43
"1143",-81.62,33.56
"1144",-79.7,32.93
"1145",-82.84,34.63
"1146",-80.92,33.93
"1147",-80.22,34.5
"1148",-80.75,32.2
"1149",-82.33,34
"1150",-79.09,33.49
"1151",-79.4,33.1
"1152",-79.74,34.22
"1153",-80.41,33.51
"1154",-81.95,34.9
"1155",-81.62,33.2
"1156",-98.5,45.45
"1157",-96.88,44.25
"1158",-97.1,43.96
"1159",-100.35,44.37
"1160",-103.25,44.08
"1161",-96.71,43.56
"1162",-98.25,45.78
"1163",-103.86,44.52
"1164",-103.51,44.42
"1165",-97.33,45.42
"1166",-97.38,42.93
"1167",-107.95,52
"1168",-109.84,49.54
"1169",-106.99,51.3
"1170",-106.67,52.07
"1171",-82.1,36.61
"1172",-87.46,35.3
"1173",-85.23,35.1
"1174",-87.38,36.5
"1175",-87.16,35.6
"1176",-85.47,36.14
"1177",-82.13,36.34
"1178",-83.49,35.71
"1179",-84.92,35.37
"1180",-86.66,36.19
"1181",-84.08,35.91
"1182",-89.93,35.15
"1183",-86.93,36.05
"1184",-85.51,35.07
"1185",-84.09,36.22
"1186",-89.38,36.42
"1187",-82.11,36.11
"1188",-88.17,35.16
"1189",-101.7,34.99
"1190",-96.37,29.63
"1191",-96.88,28.23
"1192",-97.7,30.18
"1193",-95.05,29.55
"1194",-103.75,30.99
"1195",-97.25,30.09
"1196",-94.2,30.77
"1197",-95.57,29.77
"1198",-103.04,29.18
"1199",-98.28,30.75
"1200",-98.79,29.87
"1201",-94.47,29.55
"1202",-101.42,32.24
"1203",-97.45,30.97
"1204",-97.47,25.93
"1205",-95.67,29.37
"1206",-96,33.74
"1207",-97.58,27.83
"1208",-97.29,27.66
"1209",-103.3,29.27
"1210",-101.25,29.71
"1211",-97.36,31.56
"1212",-96.32,30.59
"1213",-97.23,26.03
"1214",-95.89,29.96
"1215",-96.83,32.83
"1216",-100.96,29.47
"1217",-99.09,26.5
"1218",-95.36,29.02
"1219",-97.47,32.77
"1220",-94.83,29.33
"1221",-96,30.58
"1222",-104.81,31.89
"1223",-96.74,33.78
"1224",-94.95,29.75
"1225",-95.55,30.72
"1226",-97.86,27.47
"1227",-94.72,32.38
"1228",-95.92,32.77
"1229",-94.59,32.8
"1230",-96.54,32.93
"1231",-97.96,26.48
"1232",-101.79,33.58
"1233",-96.99,33.03
"1234",-101.78,35.52
"1235",-96.62,33.16
"1236",-102.03,31.95
"1237",-102.78,33.96
"1238",-94.66,31.53
"1239",-94.73,29.88
