"","y1980","y1981","y1982","y1983","y1984","y1985","y1986","y1987","y1988","y1989","y1990","y1991","y1992","y1993","y1994","y1995","y1996","y1997","y1998","y1999","y2000","y2001","y2002","y2003","y2004","y2005","y2006","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015"
"588",7,15,25,20,5,5,5,10,15,10,15,5,15,5,15,10,20,10,20,10,30,5,10,15,12,15,15,15,0,5,10,7,8,0,8,23
"589",25,10,5,20,30,10,10,10,10,12,10,15,8,5,8,34,5,1,10,0,5,10,30,10,25,25,10,16,15,8,22,15,24,8,0,18
"590",20,10,25,18,5,18,10,10,20,15,15,25,15,10,15,20,25,15,15,10,15,15,15,8,12,18,16,12,20,15,15,10,20,17,10,25
"591",NA,NA,10,7,35,20,10,1,NA,NA,NA,NA,NA,NA,NA,5,NA,10,10,20,0,12,10,15,25,10,8,2,4,5,40,3,0,0,7,15
"592",NA,NA,NA,NA,NA,NA,NA,NA,16,2,1,2,8,5,1,1,25,24,14,8,12,12,15,12,14,10,10,12,6,6,15,10,15,15,5,30
"593",NA,NA,NA,10,10,20,10,5,20,10,5,5,5,5,6,3,5,5,10,10,10,10,15,12,5,10,10,6,12,2,2,6,0,15,NA,NA
"594",5,10,15,10,15,20,10,10,5,15,20,5,20,20,10,10,15,5,15,15,8,12,15,12,10,5,6,15,22,20,20,9,6,16,25,18
"595",10,15,15,20,10,25,5,0,8,14,6,20,6,NA,NA,NA,15,22,0,0,10,15,15,10,15,8,6,5,0,20,13,10,10,0,18,13
"596",20,15,15,12,2,10,10,10,7,9,10,10,5,3,0,10,10,5,15,5,10,5,15,10,14,0,10,10,5,5,27,NA,10,18.4,4,19.6
"597",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,12,30,22,15,15,10,5,15,10,5,20,10,20,15,29,15,10,25,15,15,15,5,12,5,10,20
"598",15,15,0,10,35,30,NA,10,20,15,5,15,20,10,10,5,10,10,10,10,25,5,17,10,29,21,10,9,23,7,5,16,23,23,21,25
"599",15,7,10,10,10,5,5,10,12,10,10,10,10,10,5,15,15,10,20,10,6,20,20,15,30,15,23,7,6,16,10,17,17,7,7,16
"600",10,23,30,20,5,15,20,25,20,15,15,25,14,13,3,15,0,12,15,10,20,10,10,15,20,15,25,15,20,10,25,14,26,17,6,26
"601",NA,NA,NA,NA,NA,NA,15,10,40,20,7,15,10,15,10,15,10,10,10,20,15,15,25,20,10,20,15,8,35,14,15,11,13,15,22,9
"602",NA,17,25,10,10,15,5,16,12,15,18,40,5,10,10,5,20,5,10,5,10,13,10,5,15,10,15,10,15,10,10,12,15,15,0,18
"603",25,10,20,15,5,10,5,10,15,20,25,25,20,15,10,15,10,15,20,25,10,20,25,8,20,25,15,15,8,15,15,3,0,8,5,5
"604",8,10,5,20,40,15,6,5,5,15,5,5,20,10,10,10,10,10,15,25,20,10,15,10,10,20,5,10,40,10,10,15,15,15,5,25
"605",25,25,25,25,10,15,6,8,5,7,5,15,10,10,5,10,20,5,10,5,7,7,12,10,20,10,25,23,15,20,0,10,10,10,5,25
"606",15,20,18,10,25,15,3,5,3,3,7,15,16,7,7,0,5,0,11,7,20,11,15,11,40,7,15,25,11,11,7,15,5,NA,NA,NA
"607",12,14,25,30,35,25,14,8,10,10,20,20,25,20,15,15,20,10,30,40,15,20,30,10,20,10,30,20,21,25,25,25,36,20,26,15
"608",5,0,5,10,3,20,5,5,NA,NA,NA,NA,0,5,5,10,15,20,25,15,25,30,25,15,15,5,NA,NA,NA,NA,NA,NA,NA,NA,7.6,26
"609",25,10,NA,25,30,20,15,10,20,15,20,15,5,5,0,5,12,5,5,5,10,5,25,5,10,NA,15,10,10,5,15,10,10,10,5,16
"610",5,5,30,10,20,10,5,10,10,10,5,15,10,5,10,10,15,10,15,5,15,20,15,15,15,10,15,10,10,10,10,5,12,15,3,14
"611",5,10,20,10,7,15,1,9,19,14,7,40,8,15,10,7,15,15,10,10,10,10,15,12,17,12,17,24,12,10,19,10,21,24,6,29
"612",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,15,5,30,20,15,10,10,20,25,25,25,30,20,25,30,20,0,0,30,10,20,20,10,NA,12,15
"613",27,7,25,6,20,6,15,10,15,14,20,9,3,21,13,6,9,9,12,10,5,15,10,7,15,10,14,20,15,12,20,25,8,10,11,12
"614",5,10,10,5,12,20,7,7,20,5,5,0,16,10,5,5,5,10,10,10,12,13,11,10,28,12,15,7,12,25,13,28,10,15,3,20
"615",NA,NA,5,15,25,30,10,15,5,5,20,5,25,5,5,0,15,10,20,10,0,15,5,15,20,1,5,3,7,7,3,0,5,1,0,5
"616",18,30,15,10,20,20,12,10,10,10,10,15,12,10,10,10,12,10,10,15,5,10,10,10,15,7,5,15,25,8,3,7,10,5,10,10
"617",NA,NA,10,25,5,25,5,20,12,7,30,10,5,23,14,5,28,7,15,12,6,12,16,15,15,5,17,13,11,5,5,5,9,8,9,15
"618",NA,NA,NA,NA,NA,30,15,9,15,14,18,12,15,12,25,15,5,7,25,5,10,10,10,10,10,15,12,11,5,10,3,7,10,7,18,9
"619",20,10,10,0,5,10,0,10,5,5,25,5,15,0,3,0,0,0,15,0,15,5,0,15,15,5,5,6,5,5,10,10,1,20,10,7
"620",20,25,22,15,35,30,15,15,15,15,10,20,15,10,25,10,20,15,20,20,45,25,15,23,25,20,10,16,20,0,15,26,25,12,11,13
"621",NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,10,5,5,5,5,10,9,15,25,10,10,NA,15,10,10,NA,NA,NA,0,8,20,10,10,0,5
"622",10,10,15,15,15,10,5,15,10,5,20,10,0,5,10,5,20,20,10,15,15,15,20,15,10,25,10,10,15,5,10,5,5,7,8,20
"623",5,10,0,13,15,10,7,0,10,5,15,20,15,10,10,5,5,5,4,10,25,25,5,10,30,6,10,15,15,5,15,10,5,10,0,10
"624",15,12,15,12,15,18,7,10,15,15,14,33,20,9,20,8,20,8,14,15,33,20,16,22,28,15,20,14,25,12,20,10,22,20,10,21
"625",15,19,8,5,26,19,16,0,20,15,15,35,15,15,10,5,13,5,15,15,35,15,0,30,25,12,8,5,15,10,10,10,5,3,7,7
"626",NA,5,5,10,5,5,5,5,NA,NA,25,15,15,0,22,NA,0,10,22,24,25,10,10,22,25,10,10,4,12,9,10,0,7,20,9,12
"627",NA,15,16,10,15,10,3,3,8,NA,5,12,15,0,10,5,5,15,0,15,10,20,5,15,15,10,16,5,3,5,3,13,23,13,9,8
"628",NA,10,10,5,12,30,5,5,25,20,15,10,10,0,10,10,5,0,10,20,10,15,0,15,10,15,10,0,18,7,15,20,10,10,10,16
"629",5,10,20,5,10,13,15,10,15,5,20,0,8,0,14,18,15,10,8,18,10,20,15,25,14,10,NA,NA,20,NA,NA,NA,5,5,17,7
"630",NA,NA,15,8,10,15,10,20,18,12,8,5,25,12,12,15,25,15,12,8,7,25,5,25,20,5,6,12,24,10,20,28,9,24,20,15
"631",5,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,15,15,10,20,20,7,22,5,15,15,5,5,25,5,10,0,9,0,0,10
"632",2,3,15,NA,20,15,5,10,20,20,5,10,20,5,5,10,10,10,10,10,25,15,10,15,10,5,10,30,20,7,10,30,15,20,10,15
"633",5,30,20,5,15,30,5,7,15,12,15,5,10,5,10,10,15,0,20,15,40,20,10,25,20,25,15,5,5,10,5,20,23,15,8,13
"634",10,5,15,7,10,10,10,10,15,10,10,6,24,15,10,10,15,10,13,25,5,27,11,20,23,20,13,0,10,0,12,15,5,10,10,5
"635",30,7,15,5,20,5,5,5,5,25,11,4,0,35,7,0,0,15,5,10,0,15,10,0,5,5,0,20,8,13,35,30,5,0,10,30
"636",15,5,8,5,15,2,3,5,9,12,6,5,10,4,4,10,15,0,12,15,31,30,12,20,25,7,10,3,15,4,10,5,5,10,3,4
"637",33,35,15,10,30,20,5,15,10,5,10,35,20,10,0,20,15,10,28,20,38,30,17,25,29,15,21,10,14,15,15,15,16,10,8,10
"638",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,20,15,20,5,15,5,10,15,10,10,10,8,5,8,13,6,10,10,7,3,30,5,8,15,40,10
"639",5,5,5,NA,15,10,10,20,5,10,15,30,15,10,NA,NA,NA,NA,15,20,30,20,23,15,30,15,14,8,26,10,15,17,13,22,18,14
"640",15,20,0,15,15,15,15,15,30,10,25,5,12,10,10,10,10,20,6,26,10,5,3,15,8,12,10,5,15,5,5,15,5,10,25,15
"641",10,10,10,10,10,5,5,10,20,5,25,20,8,15,15,7,0,5,10,0,25,25,10,15,20,15,10,5,20,16,18,10,10,5,6,8
"642",NA,NA,NA,NA,NA,NA,10,0,NA,0,0,0,0,0,0,0,28,6,10,30,12,0,10,0,NA,10,0,0,NA,NA,NA,NA,0,0,0,15
"643",10,15,5,25,10,10,10,5,5,10,15,10,10,0,10,0,7,15,25,0,5,8,10,15,5,5,18,8,18,3,8,18,10,30,20,13
"644",15,15,15,8,10,15,5,5,5,5,15,35,10,5,5,5,5,5,20,10,8,20,0,8,20,20,5,6,NA,7,10,5,10,10,10,20
"645",20,10,5,5,7,5,10,15,15,30,10,11,0,11,10,5,10,8,12,17,5,10,20,20,NA,NA,NA,10,NA,NA,NA,NA,NA,20,NA,NA
"646",10,20,10,10,15,10,12,5,12,10,10,20,10,9,5,5,12,8,15,20,25,20,20,20,30,10,5,5,8,5,15,5,8,5,6,0
"647",10,15,26,7,8,22,8,14,10,0,NA,10,3,5,7,NA,7,10,2,12,15,8,30,10,5,10,5,10,10,10,10,15,45,15,10,5
"648",10,7,22,25,30,0,5,10,15,3,40,5,5,13,5,12,20,15,10,7,35,25,10,15,25,10,15,13,20,25,10,8,30,10,0,7
"649",NA,NA,NA,NA,NA,NA,NA,12,0,7,15,5,20,15,10,NA,10,25,10,15,5,0,15,20,12,15,10,25,25,25,15,5,20,0,12,NA
"650",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,25,23,15,15,5,50,15,7,10,6,5,20,10,10,30,10,15,20,15,15,10,5,10,15,10,10
"651",15,10,20,15,25,15,5,5,12,3,25,35,NA,20,20,13,5,5,10,5,5,NA,10,0,12,15,5,0,15,0,5,0,9,11,25,12
"652",NA,NA,NA,NA,NA,NA,NA,5,5,5,NA,NA,NA,10,10,10,5,15,15,15,5,25,20,30,15,20,32,30,10,0,10,20,34,15,15,28
"653",10,5,15,15,5,6,5,5,10,5,10,5,5,NA,8,3,5,3,7,15,10,15,7,20,32,5,17,31,15,5,0,5,0,25,12,10
"654",20,20,5,NA,NA,15,2,10,20,10,10,10,5,10,10,10,15,15,20,10,10,5,15,10,20,6,10,5,10,15,10,5,5,5,5,25
"655",4,3,12,24,5,0,6,8,24,7,12,15,12,6,0,16,14,11,6,30,5,30,12,15,35,6,8,10,35,20,0,15,12,18,0,25
"656",6,5,10,20,18,9,8,4,5,0,10,10,5,5,5,10,10,8,NA,15,15,15,15,15,10,5,5,2,10,10,5,5,8,5,5,6
"657",10,5,5,10,20,5,0,5,10,0,0,10,5,5,0,5,15,5,20,5,20,15,0,15,15,0,5,5,10,5,5,5,15,20,7,5
"658",NA,NA,NA,15,15,10,10,15,20,NA,10,10,10,20,20,12,20,10,0,15,5,10,15,5,20,5,15,5,18,18,5,15,30,15,17,10
"659",15,15,15,15,25,30,10,5,20,5,4,0,0,10,10,5,15,8,NA,3,0,2,10,5,0,20,18,30,NA,NA,NA,NA,NA,NA,NA,NA
"660",20,25,12,27,25,35,8,20,25,5,10,10,0,12,3,NA,10,25,25,10,10,10,25,5,10,2,10,10,5,30,19,15,15,10,5,18
"661",5,4,7,11,8,10,0,5,10,15,15,20,30,20,17,10,25,15,15,15,35,20,0,30,30,12,12,30,30,13,6,5,15,10,10,10
"662",15,20,NA,NA,12,5,5,10,10,8,10,0,5,8,12,18,0,25,10,20,15,15,10,30,20,10,12,30,12,5,25,30,10,20,5,5
"663",8,4,12,6,37,10,6,16,15,7,29,30,2,3,13,10,20,15,15,10,8,15,0,15,10,15,10,20,30,25,5,5,25,0,12,27
"664",5,5,5,5,20,5,3,17,9,10,15,10,10,0,5,5,5,5,0,6,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"665",NA,NA,5,10,10,5,0,5,20,10,15,5,12,20,5,10,10,8,NA,10,15,40,15,18,15,23,8,10,23,9,12,13,10,10,21,14
"666",5,7,25,12,23,16,5,13,0,4,25,5,5,5,10,5,10,5,10,5,15,22,5,10,5,10,5,20,10,15,9,12,4,23,17.3,31
"667",NA,20,20,10,25,10,15,15,5,10,20,10,15,5,5,10,20,15,15,5,10,20,15,20,5,30,7,0,15,0,0,8,0,50,15,0
"668",NA,NA,NA,NA,NA,NA,NA,15,5,10,5,10,5,5,5,5,5,10,25,7,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"669",NA,NA,NA,NA,5,20,20,5,25,20,15,15,15,15,15,15,20,20,10,5,25,10,22,10,7,15,5,5,5,15,12,7,7,5,5,7
"670",10,5,5,25,10,10,10,15,25,0,15,0,5,5,5,5,0,20,30,12,12,5,10,15,5,15,10,12,7,10,5,10,15,0,14,5
"671",5,20,10,0,10,5,10,12,5,5,16,0,4,5,0,0,7,14,30,10,10,15,5,8,15,10,17,7,30,5,5,0,15,0,10,15
"672",40,20,10,15,15,15,10,10,5,20,10,25,5,5,5,5,20,10,5,5,5,20,10,15,0,5,8,10,10,25,0,10,12,0,15,12
"673",5,18,15,2,10,12,12,18,20,8,15,8,12,5,5,0,25,0,20,10,10,10,3,10,25,8,10,20,18,15,10,30,10,15,20,18
"674",25,10,18,30,7,18,10,25,25,10,18,25,18,10,10,20,10,30,17,10,15,5,15,5,15,8,5,12,8,12,8,10,5,10,14,10
"675",NA,NA,NA,NA,NA,NA,NA,NA,NA,15,10,10,10,10,10,15,5,5,10,15,20,15,0,15,10,10,10,10,22,15,9,23,15,12,14,25
