"","y1980","y1981","y1982","y1983","y1984","y1985","y1986","y1987","y1988","y1989","y1990","y1991","y1992","y1993","y1994","y1995","y1996","y1997","y1998","y1999","y2000","y2001","y2002","y2003","y2004","y2005","y2006","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015"
"1463",0,2,0,NA,1,2,0,2,0,1,3,3,3,2,0,2,2,0,0,0,NA,2,2,2,2,0.5,1,0,0,0,0,2,1,0,4,4
"1464",0,0.5,2,0,1,0,0,2,2,0,NA,1,0,2,0,3,2,3,4,0.5,NA,2,0,2.5,0,2,1,0,0.5,1.5,0,0,0,2,0,2
"1465",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0,1,3,4,0,1.5,2.5,0.5,3,1,1.5,0,NA,2,2,NA,NA,1,2.5,0.5,2,0,0.5,2,4,4,NA,NA
"1466",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,1,0,4,2,0,1,0.5,NA,2,NA,NA,NA,1,1,0.5,1.5,0,2,4,4,0,0,0
"1467",1.5,2.5,1.5,1,1,2,1,1,2,0.5,1,0,2,1,NA,0,2,0,1,NA,NA,2.5,0,1,2,0.5,0.5,1.5,2,1,1,4,0,2,1,2
"1468",NA,NA,NA,NA,NA,0,2,2,NA,1,2,0,NA,0.5,3,NA,2,1,1,0,NA,2,2,0,0,0,0.5,2,2,2,0,0,4,0,NA,NA
"1469",2,NA,NA,NA,NA,NA,NA,NA,0.5,0,1,3,1.5,2,0,2,2,2,2,1.5,NA,0.5,0,0,2,1.5,2,2,1.5,1.5,1,NA,0,0,4,0
"1470",NA,0,1,0,1.5,1,0,0.5,0,2,2.5,1,3,1,1,2.5,1,2,2,1,NA,0.5,0.5,0.5,1.5,2,0,0,0,1,1,2,2,0,NA,4
"1471",2,0,1,2,3,2.5,2,2,2,1,2,2,0.5,2,2,2,2,NA,0.5,NA,NA,0,0,0,1,2,2,0,1,2,1,0,4,4,4,4
"1472",1.5,1,0,1,0,2,1,0.5,NA,NA,1,0,2.5,0.5,2,NA,1.5,0,NA,NA,NA,1,0.5,0.5,0,0.5,1.5,1,0,0,0.5,2,0,2,2,4
"1473",0.5,0,1,0,1.5,0,1,2,2,2,3,1.5,1,NA,NA,NA,NA,NA,1.5,NA,NA,0,0,2,NA,NA,NA,NA,NA,0,0.5,4,0,0,1,4
"1474",0,3,0,1,1,0,2,3,3,2,0,0,3,0,3,3,0.5,2,0,0,NA,0,0.5,NA,2,0,2,1,1.5,0.5,2,0,0,0,0,0
"1475",2,1.5,1.5,2,2,0,1.5,0,0,NA,NA,0,2,0,2,NA,2,1,2,1,NA,2.5,2,2,0,2,2,2,NA,2,2,1,4,2,4,4
"1476",1,0.5,1,1,1.5,2,2,0.5,1.5,0.5,1.5,3,0,1,1.5,3,3,2,2,1.5,NA,4,0.5,2,0,0,4,4,1,2,1,0,4,0,4,4
"1481",NA,NA,NA,NA,NA,NA,NA,1,1,4,2.5,2.5,2,2.5,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0.5,1,NA,1,2,1,0.5,0,0,0,4,4
"1482",0,2,1,2,0,0.5,3,0,0,0,1.5,3,0,2,NA,2,2,2,2,3,NA,NA,1,0,0,0.5,1,2.5,2,1.5,2,1,2,0,4,0
"1483",1,1,1,0,1,1,1,2,0.5,2,1.5,2,2,0,0,3,1,0.5,NA,NA,NA,NA,0,2,1,0.5,2,1,2,1,1,0,2,4,4,0
"1484",NA,1,2,0,1,2,0,2,2,2,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,1,2,0,2,0,0,4,1,0,4,2
"1486",0,1,0,0,1,0,0,1,0,2.5,2,0,0,0,2,NA,0.5,0,NA,NA,NA,NA,0,0,NA,1,NA,1,0.5,0.5,0,0,0,NA,2,NA
"1487",1,1,0,0,0,1,1,0.5,0,0,1.5,1.5,0.5,0,0,NA,1.5,1,0,0,NA,NA,NA,2,2,0,0.5,0,2,0.5,1,0,0,0,4,0
"1488",1,1,1,1,1,1,1,1.5,3,0.5,4,1,2,2,4,1,1,NA,NA,NA,NA,NA,NA,2,1,2,2,2,1,2,2,4,4,4,2,4
"1489",3,3,1.5,2.5,3,0,2.5,1.5,0.5,4,3,0,3,0,1,3,NA,NA,NA,NA,NA,NA,NA,2,1,2,0,2,NA,2,2,0,0,3,3,4
"1490",0,1,1,2,2,NA,0,0,0,0,2,0,1.5,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1,1,0,1.5,0,3,3,0,0,4,2
"1491",1,3,0,1,1.5,1.5,2,0,0,3.5,1,0,2,1,3,2,2.5,1.5,NA,NA,NA,NA,NA,NA,2,0.5,2,1.5,3,0.5,0,0,1,2,4,0
"1492",1.5,0,2,0,1.5,NA,1,2,0,NA,2.5,0.5,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,2,0,0,0,4,4,4,4,4
"1493",0,0.5,1,1.5,1,2,2,1,2,0,3,3,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,2,2,0.5,2,4,4,4,0
"1494",0,0,2,1,3,1,2,4,2,1,2,0.5,1,3,2,1,0,0,0.5,1,NA,NA,NA,NA,NA,0,0,3,1.5,1,1,0,4,4,4,1
"1496",1,1,1,1,NA,2,1,NA,1.5,0,0,0,1,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.5,1,0.5,0,4,0,0,4,2
"1498",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,0.5,NA,1,NA,NA,NA,4,4,4,4
"1499",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,0,1,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,0,2,0,2,2,0,0,4,4,NA
"1500",NA,NA,NA,NA,NA,NA,4,0,0.5,0,1,0,0.5,2,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,0,NA,NA,NA,NA,NA,NA,NA
"1501",NA,NA,NA,NA,NA,NA,NA,NA,1,2,0.5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1.5,4,1,0,4,1
"1502",NA,NA,NA,NA,2,NA,2,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,4,0,2,2
"1503",2,0,2,2,0,0,2,2,1,1,2,2,1,2,2.5,1.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1.5,2,2,0,2,2
"1504",0,2,1,2,0,2,0,0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,2,2,1,4,4,4,0
"1505",NA,NA,NA,0.5,1,0,2,2,0,1,2.5,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.5,4,2,4,4,4
"1506",0,2,2,0,2,2,1,2,2,1.5,2,0.5,0,2,1,1,2,0.5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,4,2
"1507",2,1.5,2,1,2,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,NA,NA,NA,NA,NA,NA
"1508",1,1,0,1,2,NA,1.5,NA,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,NA,NA,NA,NA,NA,NA
"1509",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,NA,NA,NA,NA,NA,NA
"1510",2,1,1,1,0,1,2,0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,NA,1.5,1.5,NA,NA,1.5,1.5,1.5,1.5,1.5,NA,NA,NA,NA,NA,NA
"1511",NA,1,1,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,NA,NA,NA,NA,NA,NA
"1512",NA,NA,NA,1,1.5,1,1,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,NA,NA,NA,NA,NA,NA
"1513",NA,NA,NA,NA,NA,NA,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,NA,1.5,NA,NA,NA,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,NA,NA,NA,NA,NA,NA
"1514",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1,0,2,0.5,0,2,1,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,NA,NA,NA,NA,NA,NA
